RegID,LAT,LONG,Description,Date,Monument Type,Inside a church?,Related Person,Represents related person (in text or image)?,Text on monument,Listed or scheduled?,Listing URL,Representation,Linked to slave-ownership?,Absentee?,Titles and jobs of related person,Represents enslaved person/s?,Abolitionist?,Linked to a slave revolt?,Designer/Maker,"Covered, modified, moved, or removed?",Link to person’s profile in the Legacies of British Slavery project,Related sites of historic slavery,LOC1LAT,LOC1LONG,LOC2LAT,LOC2LONG,LOC3LAT,LOC3LONG,LOC4LAT,LOC4LONG,LOC5LAT,LOC5LONG,LOC6LAT,LOC6LONG,LOC7LAT,LOC7LONG,LOC8LAT,LOC8LONG,LOC9LAT,LOC9LONG,LOC10LAT,LOC10LONG,LOC11LAT,LOC11LONG,LOC12LAT,LOC12LONG,Notes,Contributor Credit,Label,Type,
BM000109,51.5159,-0.092,Monument To Alderman William Beckford,1770,Statue bust or relief,N,Alderman William Beckford,Y,,Y,https://historicengland.org.uk/listing/the-list/list-entry/1064675,,Linked to Slave-ownership,Yes,"ALDERMAN, MP",N,No,Y,John Francis Moore,No,https://www.ucl.ac.uk/lbs/person/view/2146640587,"Westmoreland Jamaica,Clarendon Jamaica,St Dorothy Jamaica,St Ann Jamaica,St Catherine Jamaica,St Mary Jamaica,St Thomas In The East Jamaica,Clarendon Jamaica,St Thomas In The Vale Jamaica",18.22525,-78.13218,17.947381,-77.271391,17.977427,-77.105727,17.977427,-77.105727,18.347682,-77.275925,18.041421,-77.03523,18.277606,-76.903118,17.966977,-76.43904,17.947381,-77.271391,18.192825,-76.973513,,,,,"One of his estates, Esher, is recorded as a site of Tacky&#039;s revolt, during his ownership. &quot;Having at Midnight assembled about 90 others, at Mr. Bayly Estate, Trinity (from Esher, Whitehall, Ballard Valley, and other Plantations) they marched to Port Maria&quot; -- Letter from a Gentleman at St. Mary, 14 April 1760. Likewise, uprising is recorded at Retrieve in Westmoreland on May 26, 1760 with one white man killed (Beckford is recorded in1762 as owning this plantation), and as part of a slave rebellion whose numbers rose to 12,000. Cited in http://revolt.axismaps.com/map/",,"Tacky's Revolt, 1760",Revolt,
BM000127,50.715684,-2.437272,Plaque To John Gordon at St Peters Church,1774,Plaque,Y,John Gordon,Y,"Near this place lies the body of John Gordon esq. Son of Robert Gordon esq of pronsey. Grandson of Sir John Gordon Baronet of embo in Sutherland. He died at dorchester oct 4th 1774 aged 46. On his return to Jamaica. Where he had resided many years in universal esteem. He was signally instrumental In quelling a dangerous Rebellion in that Island, In the Year 1760. A large Body of NEGROES Whom his BRAVERY had repulsed Finally Yeilding To their Confidence in his HUMANITY.",Y,,,Linked to Slave-ownership,Transatlantic,U,N,No,Y,,2020,https://www.ucl.ac.uk/lbs/person/view/2146649437,"St Ann Jamaica,St Thomas In The Vale Jamaica",18.347682,-77.275925,18.192825,-76.973513,,,,,,,,,,,,,,,,,,,,,"Celebrates his suppression of Tacky&#039;s Revolt. For a map of the revolt, see http://revolt.axismaps.com/map/",,"Tacky's Revolt, 1760",Revolt,
BM000203,51.3526875,-0.2494184,Memorial To Thomas Hercey Barritt at St Marys Church,1804,Plaque,Y,Thomas Hercey Barritt,Y,SACRED  To the Memory of  THO: HERCY BARRITT  Died Febry 3rd 1804  Aged 18 Months and 3 days Also  LOUISA ANN BARRITT Died Febry 16th 1812 Aged 12 Years Also T. H. BABBITT Esqr. Died Oct 28th 1817  Aged 79 Years.,Y,https://historicengland.org.uk/listing/the-list/list-entry/1277324,,Linked to Slave-ownership,Unknown,MAGISTRATE,N,No,Y,,No,https://www.ucl.ac.uk/lbs/person/view/2146632224,Paradise Estate Vere Jamaica,17.825838,-77.258801,,,,,,,,,,,,,,,,,,,,,,,"The Jamaican newspaper, The Cornwall Chronicle records an advert offering a reward for the recapture of a Yoruba man named Vellum who escaped from Paradise estate, 29 Sept 1786 (Barritt was a senior govt figure in Jamaica from 1776, with the earliest record of ownership of Paradise estate in 1809 attributed to him). See Runaway Slaves in Jamaica (I): Eighteenth Century, edited by Douglas B. Chambers, University of Mississippi. p.123. https://ufdcimages.uflib.ufl.edu/AA/00/02/11/44/00001/JamaicaRunawaySlaves-18thCentury.pdf. Barritt also owned a British country house, Garbrand Hall, apparently named after another of his Jamaican plantation estates.",,Vellum,Escapee,
BM000208,51.51399883,-0.098372051,Thomas Dundas Monument,1805,Statue bust or relief,Y,Thomas Dundas,Y,,Y,,,No,No,MAJOR-GENERAL,N,No,Y,John Bacon junior,No,,,,,,,,,,,,,,,,,,,,,,,,,,,"At St Pauls Cathedral. he died of yellow fever in 1974 as governor of Guadeloupe, having just captured it and restored the legality of slavery (shortly before abolished by the French). When Victor Hugues (the French former governor who had abolished slavery there) regained possession of the island, he issued a declaration on 10 Dec that the body of Dundas, interred in Guadeloupe, 'shall be taken up and given as prey to the birds of the air.' The domestic outrage this gesture aroused back in England prompted the memorial in St Paul’s to be created, erected in 1805.",,"Failed British Invasion of Guadeloupe, 1794",Revolt,
BM000270,55.86092404,-4.251331996,John Moore Statue,1819,"Statue bust or relief,Plaque",N,John Moore,Y,TO COMMEMORATE THE MILITARY SERVICES OF GENERAL SIR JOHN MOORE NATIVE OF GLASGOW HIS FELLOW CITIZENS HAVE ERECTED THIS MONUMENT IN 1819,Y,http://portal.historicenvironment.scot/designation/LB32698,,Linked to Slave-ownership,No,"SIR, LIEUTENANT-GENERAL",N,No,Y,,No,,"Soufriere,St Lucia",13.853685,-61.05533,,,,,,,,,,,,,,,,,,,,,,,Involved in the 'Second Brigands War' in St Lucia to recolonise the island against former slaves who had won their freedom following an uprising. Slavery was restored in 1803.,,Second Brigands War,Revolt,
BM000279,57.59099229,-4.114850022,Plaque,1821,Plaque,Y,"John Fowler, James Fowler, Andrew Fowler",Y,"Sacred to the memory of John fowler, esquire / of friendship estate, parish of trelawney, Jamaica / who departed this life in that island 1792 / in the 38th year of his age / he commanded for some time the leeward troop of trelawney horse / and while his talents and virtues in every department of life / invariably secured to him general respect and the most cordial esteem / his death was deeply deplored by his friends and lamented by / the numerous circle of his acquaintance / also to the memory of Andrew fowler, esquire / of the same Paris and island who departed this life, June 1796, aged 41 years / he lived esteemed and died regretted / this memorial of affection and regard was erected by their only surviving brother / James fowler, esquire of grange and Raddery / 1821",Y,,,"Linked to Slave-ownership,Claimant under the 1837 slave compensation act,Direct beneficiary of slave-ownership",Yes,"slave trader, agent",N,No,Y,,No,"https://www.ucl.ac.uk/lbs/person/view/16183 , https://www.ucl.ac.uk/lbs/person/view/2146650237",Trelawney Jamaica,18.363649,-77.603683,,,,,,,,,,,,,,,,,,,,,,,"At Rosemarkie Church. A John Fowler can also be found as an owner of slave ships in the online Trans-Atlantic Slave Trade database. Runaway slave notices record that a man named London escaped Fowler’s enslavement in 1783, and another unnamed young man escaped after being transported by him in 1777. “27 May 1783  Cornwall Chronicle  Martha-Brae  Run away, from the Subscriber a Negro fellow, of the Coromantee country, named LONDON,  short, well made, and about 25 years of age. He is well known at Montego Bay and in the parish  of Trelawny. Whoever secures said Negro in any of the gaols, shall receive a Half-Joe reward, by  applying to Mr. NICHOLAS SMITH, at Montego Bay, or JOHN FOWLER.” ;  “8 April 1777  Cornwall Chronicle  Duncan’s, Trelawny  Run or wandered away, the 1st instant from Smoaky Hall Plantation in said parish, a Negro man boy [MAN] of the Eboe country, the property of Mr. ALEXANDER LONGMORE, and bought  of the Messrs. JACKSONS, out of the Britannia the 27th of January last; he is a thin fellow,  black complexion, and filed teeth, he has no other mark but that of his country. Whoever delivers  said slave to Mr. James Riddoch at Montego Bay, Mr. John Fowler, Martha-Brae, or the  Subscriber at Duncans’s shall be thankfully rewarded. JOHN HUIE. [See TAST (1999), ID#17889, the Britannia, Capt. Stephen Madge, departed Bristol 10 July 1776,  disembarked at Montego Bay 17 Jan.-4 Apr. 1777, John Fowler owner, crew of 30-37, 10 guns, 140 tons, slave  cargo imputed 239 disembarked, Africa unspecified.]” Runaway Slaves in Jamaica (I): Eighteenth Century. Edited by Douglas B. Chambers, University of Southern Mississippi, February, 2013. p.21, 77.",,"London, Unnamed Enslaved Man",Escapee,
BM000300,55.9781568,-2.8014391,Hopetoun Monument,1824,,N,John Hope,Y,"This monument was erected to the memory of the Great and Good John, Fourth Earl of Hopetoun by his affectionate and grateful tenantry in East Lothian. MDCCCXXIV",Y,,,Linked to Slave-ownership,No,"EARL, LORD-LIEUTENANT, VICE GOVERNOR OF ROYAL BANK OF SCOTLAND",N,No,Y,,No,,St John Grenada,12.140369,-61.711673,,,,,,,,,,,,,,,,,,,,,,,At Byres Hill. John Hope wasinvolved in the suppresson of Fedon's rebellion in Granada.,,"Fedon's Rebellion, 1795",Revolt,
BM000315,56.3359196,-3.0836963,Hopetoun Monument,1826,Column,N,John Hope,Y,"To perpetuate the memory of John 4th Earl of Hopetoun who died 16 August 1823, this memorial is erected by the inhabitants of Fife MDCCCXXVI",Y,https://portal.historicenvironment.scot/designation/LB10831,,Linked to Slave-ownership,No,"EARL, LORD-LIEUTENANT, VICE GOVERNOR OF ROYAL BANK OF SCOTLAND",N,No,Y,,No,,St John Grenada,12.140369,-61.711673,,,,,,,,,,,,,,,,,,,,,,,At Mount Hill. involved in the suppresson of Fedons rebellion in Granada.,,"Fedon's Rebellion, 1795",Revolt,
BM000346,51.522838,-0.151539,Plaque To James Cruikshank at St Marylebone Parish Church,1831,Plaque,Y,James Cruikshank,Y,"To the memory of JAMES CRUIKSHANK ESQUIRE of Ballards Valley, St. Mary in the Island of Jamaica, and of Gloucester Place, Portman Square.  He died 25th November 1831 aged 70 years. Sacred also to the memory of MARY DANSEY, only daughter of James Cruikshank Esquire and Mary, his wife.  The wife of George Cornwallis DANSEY,  Major in His Majesty&#039;s Royal Regiment of Artillery, who died 14th February 1830 aged 33 years.",Y,,,Linked to Slave-ownership,Yes,,N,No,Y,,No,https://www.ucl.ac.uk/lbs/person/view/2146645813,St Mary Jamaica,18.277606,-76.903118,,,,,,,,,,,,,,,,,,,,,,,"One of the plantations left to him by his father John Cruikshank, Ballard&#039;s Valley, was a site of Tacky&#039;s revolt in 1760 (the earliest record of ownership is of 1774 by John Cruikshank). &quot;Having at Midnight assembled about 90 others, at Mr. Bayly Estate, Trinity (from Esher, Whitehall, Ballard Valley, and other Plantations) they marched to Port Maria&quot; -- Letter from a Gentleman at St. Mary, 14 April 1760. Cited in http://revolt.axismaps.com/map/",,"Tacky's Revolt, 1760",Revolt,
BM000387,55.94965,-3.20505,Tomb Of Charles Selkrig,1837,Tomb or Mausoleum,N,Charles Selkrig,Y,,Y,http://portal.historicenvironment.scot/designation/LB27339,,"Linked to Slave-ownership,Claimant under the 1837 slave compensation act,Direct beneficiary of slave-ownership",Yes,ACCOUNTANT,N,No,Y,,No,https://www.ucl.ac.uk/lbs/person/view/7647,"British Guiana,St Mary Jamaica,St George Jamaica",4.82826,-58.893384,18.277606,-76.903118,18.181083,-76.697419,,,,,,,,,,,,,,,,,,,"At St James and St Cuthberts Graveyard. Selkrig was awarded compensation for Heywood Hall as trustee of the firm of Robert Mackay &amp; Co. Under its former owner James Modyford Heywood, Heywood Hall Jamaica was a key site of Tacky&#039;s revolt in 1760. The former British country house of Maristow House in Devon and Heywood Hall Jamaica are similarly linked sites via Heywood&#039;s ownership. For a map of the revolt, see http://revolt.axismaps.com/",,"Tacky's Revolt, 1760",Revolt,
